año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2020,702,1,1,0,0,1,1,0,0,1,0,1,0,1,0,"0",1,0,1,1,1,0,0,1,0,"0",1,1,1
2020,778,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,1,0
2020,341,0,1,0,1,1,1,0,1,0,0,1,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,99,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"1",0,0,1,1,0,0,1,1,1,"1",0,1,0
2020,767,0,1,0,1,1,1,0,1,0,0,0,0,1,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,359,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"0",1,1,1,1,1,1,0,1,1,"1",0,0,0
2020,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,0,0,"0",0,0,0
2020,132,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"0",1,0,1,1,0,0,0,1,0,"0",1,0,0
2020,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,0,0,0,0,1,0,"0",0,0,0
2020,110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,0,0,"0",0,0,0
2020,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,1,0,0,0,"1",0,0,0
2020,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"1",0,0,0
2020,664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,1,1,1,"1",0,0,0
2020,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"0",1,0,0,1,0,0,0,0,0,"0",1,0,0
2020,95,0,1,0,1,1,1,0,0,0,0,0,1,0,0,"1",1,1,1,1,0,0,0,1,0,"1",1,0,0
2020,301,0,1,0,1,1,1,0,1,1,0,0,1,0,0,"0",1,1,1,1,0,0,0,1,0,"0",0,1,0
2020,492,1,1,0,0,1,0,0,0,1,0,0,0,0,0,"0",1,0,1,1,1,1,0,1,0,"1",0,0,0
2020,811,0,1,0,0,0,0,0,1,1,0,1,1,1,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,0
2020,812,0,1,0,0,0,1,0,1,1,0,1,1,1,0,"0",1,0,1,1,1,0,0,1,1,"1",0,1,0
2020,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,841,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,856,0,0,0,0,0,1,0,0,1,0,1,1,0,0,"0",1,0,0,1,1,0,0,0,0,"0",1,0,0
2020,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,1,1,0,0,0,1,1,"1",0,0,0
2020,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,883,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,0
2020,884,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,1,1,1,0,0,1,0,0,"0",0,0,0
2020,911,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,1,0,0,0,0,"0",0,0,0
2020,913,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"0",1,0,1,0,1,0,0,0,0,"0",0,0,0
