"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;84,00;0;0;0;0;0;0
2010;713,00;44620;329147;0;329147;0;373767
2010;85,00;0;71934;0;71934;30671;102605
2010;86,00;0;50285;0;50285;21983;72268
2010;941,00;13439;86665;0;86665;0;100104
2010;1045,00;0;14393012;297324;14095688;0;14393012
2010;937,00;12310;294790;0;294790;0;307100
2010;1004,00;;503957;;503957;330;504287
2010;737,00;;1000053;;1000053;;1000053
2010;765,00;0;1629027;0;1629027;8000;1637027
2010;329,00;0;258687;0;258687;0;258687
2010;87,00;0;42974;0;42974;0;42974
2010;527,00;65995;0;0;0;98000;163995
2010;562,00;51380;907021;0;907021;0;958401
2010;251,00;6133;2088002;;2088002;0;2094135
2010;129,00;17604;1575199;0;1575199;0;1592803
2010;154,00;130153;536871;0;536871;0;667024
2010;516,00;;1228578;;1228578;;1228578
2010;184,00;2719;66984;;66984;;69703
2010;652,00;0;399972;0;399972;0;399972
2010;637,00;0;152292;0;152292;0;152292
2010;88,00;0;0;0;0;63273;63273
2010;907,00;168;52828;0;52828;0;52996
2010;970,00;;109899;;109899;;109899
2010;1019,00;8035;70415;;70415;;78450
2010;1016,00;0;0;0;0;0;0
2010;1047,00;0;243622;0;243622;0;243622
2010;635,00;0;227670;0;227670;0;227670
